Num_PEs,Pipeline,Merged_QQ,Joint_Scratchpad,Scratchpad_0_Size,Scratchpad_0_Banks,Scratchpad_1_Size,Scratchpad_1_Banks,Scratchpad_2_Size,Scratchpad 2 Banks,Ideal,Queries_Processed,Nodes_Visited,Point_Accesses,Node_Accesses,Stack_Accesses,Conflicts,Stages_Stalled,Percent_Time_Stalled,Lines_Processed,Cycles,Avg_Cycles_per_Node
4,True,False,True,5000000,4,5000000,2,5000000,16,False,29814,443797,506048,506048,1577772,1157828,12884768,0.3223719396006469,18813218,312255,0.7035987174316185
4,True,False,True,5000000,4,5000000,4,5000000,1,False,29814,400293,506048,506048,1577772,9302636,60499233,0.4358155623022741,18813218,1084519,2.709312928280035
4,True,False,True,5000000,4,5000000,4,5000000,2,False,29814,407533,506048,506048,1577772,4299344,33047425,0.43145772424076323,18813218,598397,1.4683399871912213
4,True,False,True,5000000,4,5000000,4,5000000,4,False,29814,430317,506048,506048,1577772,1840805,16726597,0.33409147380094084,18813218,391140,0.9089578148202372
4,True,False,True,5000000,4,5000000,4,5000000,8,False,29814,450094,506048,506048,1577772,865602,9363788,0.23950953148787796,18813218,305435,0.6786026918821402
4,True,False,True,5000000,4,5000000,4,5000000,16,False,29814,457269,506048,506048,1577772,591346,7102366,0.19749368898087608,18813218,280957,0.6144238949064993
4,True,False,True,5000000,4,5000000,8,5000000,1,False,29814,399656,506048,506048,1577772,9220160,59595281,0.4303537779503694,18813218,1081873,2.7070105290549873
4,True,False,True,5000000,4,5000000,8,5000000,2,False,29814,407345,506048,506048,1577772,4280365,32835269,0.429840060226075,18813218,596793,1.465079969067989
4,True,False,True,5000000,4,5000000,8,5000000,4,False,29814,430053,506048,506048,1577772,1801707,16254262,0.326508713508107,18813218,388922,0.9043583000234855
4,True,False,True,5000000,4,5000000,8,5000000,8,False,29814,452409,506048,506048,1577772,793504,8482575,0.21957634526306372,18813218,301809,0.6671153756888125
4,True,False,True,5000000,4,5000000,8,5000000,16,False,29814,461528,506048,506048,1577772,499588,5936517,0.1682197967483361,18813218,275705,0.5973743738191399
4,True,False,True,5000000,4,5000000,16,5000000,1,False,29814,399122,506048,506048,1577772,9190013,59289771,0.42851041802541634,18813218,1080957,2.7083373003743216
4,True,False,True,5000000,4,5000000,16,5000000,2,False,29814,407128,506048,506048,1577772,4248602,32529868,0.4268326823791417,18813218,595408,1.4624589809593052
4,True,False,True,5000000,4,5000000,16,5000000,4,False,29814,430237,506048,506048,1577772,1778073,15962799,0.3217484234672948,18813218,387599,0.9008964826363144
4,True,False,True,5000000,4,5000000,16,5000000,8,False,29814,453299,506048,506048,1577772,768305,8115590,0.21087955456329407,18813218,300660,0.6632708212460209
4,True,False,True,5000000,4,5000000,16,5000000,16,False,29814,461930,506048,506048,1577772,470903,5557457,0.15826213024896113,18813218,274340,0.5938995085835517
4,True,False,True,5000000,8,5000000,1,5000000,1,False,29814,400239,506048,506048,1577772,9701802,66047013,0.4706644760336074,18813218,1096306,2.739128370798448
4,True,False,True,5000000,8,5000000,1,5000000,2,False,29814,410866,506048,506048,1577772,5108273,42153985,0.5237363058698643,18813218,628805,1.5304381477172606
4,True,False,True,5000000,8,5000000,1,5000000,4,False,29814,431983,506048,506048,1577772,4046887,38077791,0.5955097803142072,18813218,499543,1.1563950433234642
4,True,False,True,5000000,8,5000000,1,5000000,8,False,29814,439803,506048,506048,1577772,4292329,41977710,0.6819338619979082,18813218,480913,1.0934736688926634
4,True,False,True,5000000,8,5000000,1,5000000,16,False,29814,441672,506048,506048,1577772,4370612,42974268,0.7025803867016001,18813218,477862,1.0819386331938634
4,True,False,True,5000000,8,5000000,2,5000000,1,False,29814,400067,506048,506048,1577772,9358462,61313517,0.4405042882008466,18813218,1087417,2.7180872203905846
4,True,False,True,5000000,8,5000000,2,5000000,2,False,29814,407304,506048,506048,1577772,4386450,34095480,0.4426773894141363,18813218,601727,1.4773412487969673
4,True,False,True,5000000,8,5000000,2,5000000,4,False,29814,427691,506048,506048,1577772,2058449,19108969,0.3734722772069787,18813218,399732,0.9346280375317695
4,True,False,True,5000000,8,5000000,2,5000000,8,False,29814,440726,506048,506048,1577772,1321694,14049852,0.33299800910125144,18813218,329625,0.7479136697176931
4,True,False,True,5000000,8,5000000,2,5000000,16,False,29814,444068,506048,506048,1577772,1150218,12639000,0.31625938043488705,18813218,312219,0.7030882657610996
4,True,False,True,5000000,8,5000000,4,5000000,1,False,29814,399833,506048,506048,1577772,9218201,59240689,0.4274885214461079,18813218,1082644,2.7077404816510895
4,True,False,True,5000000,8,5000000,4,5000000,2,False,29814,407223,506048,506048,1577772,4262967,32718515,0.4279488136385629,18813218,597299,1.4667614550258703
4,True,False,True,5000000,8,5000000,4,5000000,4,False,29814,430124,506048,506048,1577772,1785290,16010043,0.32200366837822253,18813218,388438,0.9030837618919195
4,True,False,True,5000000,8,5000000,4,5000000,8,False,29814,452641,506048,506048,1577772,777245,8209108,0.21259752061047446,18813218,301667,0.6664597329892785
4,True,False,True,5000000,8,5000000,4,5000000,16,False,29814,460741,506048,506048,1577772,485789,5767386,0.16382415138690432,18813218,275037,0.5969449213332436
4,True,False,True,5000000,8,5000000,8,5000000,1,False,29814,400016,506048,506048,1577772,9172010,58939682,0.42638568426720647,18813218,1079929,2.6997145114195433
4,True,False,True,5000000,8,5000000,8,5000000,2,False,29814,407579,506048,506048,1577772,4224985,32159409,0.42129394166082573,18813218,596366,1.4631911850217993
4,True,False,True,5000000,8,5000000,8,5000000,4,False,29814,431172,506048,506048,1577772,1725588,15313041,0.31015779136646815,18813218,385717,0.8945780338240887
4,True,False,True,5000000,8,5000000,8,5000000,8,False,29814,455701,506048,506048,1577772,693612,7179436,0.18888417196776572,18813218,296951,0.6516356119473076
4,True,False,True,5000000,8,5000000,8,5000000,16,False,29814,467251,506048,506048,1577772,373338,4314624,0.12547740825944206,18813218,268638,0.5749329589449782
4,True,False,True,5000000,8,5000000,16,5000000,1,False,29814,399585,506048,506048,1577772,9111729,58399592,0.42367312774634963,18813218,1076884,2.6950060687963764
4,True,False,True,5000000,8,5000000,16,5000000,2,False,29814,407685,506048,506048,1577772,4202627,31993871,0.4206291077042041,18813218,594234,1.457581220795467
4,True,False,True,5000000,8,5000000,16,5000000,4,False,29814,430924,506048,506048,1577772,1712177,15128714,0.3066660390931287,18813218,385413,0.8943874093807724
4,True,False,True,5000000,8,5000000,16,5000000,8,False,29814,457263,506048,506048,1577772,664053,6763410,0.17864640562927903,18813218,295775,0.6468378154366305
4,True,False,True,5000000,8,5000000,16,5000000,16,False,29814,468956,506048,506048,1577772,336887,3844859,0.11273098825514061,18813218,266457,0.5681918986002952
4,True,False,True,5000000,16,5000000,1,5000000,1,False,29814,401158,506048,506048,1577772,9732496,66384135,0.4723714429899264,18813218,1097920,2.736876741832395
4,True,False,True,5000000,16,5000000,1,5000000,2,False,29814,410601,506048,506048,1577772,5134855,42593659,0.52877599035369,18813218,629308,1.5326509190187068
4,True,False,True,5000000,16,5000000,1,5000000,4,False,29814,432115,506048,506048,1577772,4038954,38240893,0.5971055329404688,18813218,500342,1.1578908392441827
4,True,False,True,5000000,16,5000000,1,5000000,8,False,29814,439843,506048,506048,1577772,4266525,41254592,0.6699805222206747,18813218,481061,1.093710710412579
4,True,False,True,5000000,16,5000000,1,5000000,16,False,29814,441491,506048,506048,1577772,4404251,43431424,0.7106120166622337,18813218,477487,1.0815328058782625
4,True,False,True,5000000,16,5000000,2,5000000,1,False,29814,399645,506048,506048,1577772,9371226,61450919,0.4429726159505472,18813218,1083781,2.711859275106657
4,True,False,True,5000000,16,5000000,2,5000000,2,False,29814,407023,506048,506048,1577772,4400010,34191177,0.44365001804123283,18813218,602093,1.4792603857767253
4,True,False,True,5000000,16,5000000,2,5000000,4,False,29814,427843,506048,506048,1577772,2039630,18857343,0.3687629026535271,18813218,399506,0.9337677606037729
4,True,False,True,5000000,16,5000000,2,5000000,8,False,29814,441090,506048,506048,1577772,1303030,13745955,0.3256875949629095,18813218,329734,0.7475435852093677
4,True,False,True,5000000,16,5000000,2,5000000,16,False,29814,444779,506048,506048,1577772,1133391,12534788,0.31468887576721616,18813218,311190,0.6996508378318221
4,True,False,True,5000000,16,5000000,4,5000000,1,False,29814,399021,506048,506048,1577772,9205202,59450415,0.4310411919083787,18813218,1077522,2.700414263910922
4,True,False,True,5000000,16,5000000,4,5000000,2,False,29814,407093,506048,506048,1577772,4251699,32498931,0.42588813833427547,18813218,596161,1.464434416705765
4,True,False,True,5000000,16,5000000,4,5000000,4,False,29814,430265,506048,506048,1577772,1775124,15924716,0.32036999662665,18813218,388338,0.902555401903478
4,True,False,True,5000000,16,5000000,4,5000000,8,False,29814,452716,506048,506048,1577772,773396,8169417,0.21181044428090692,18813218,301324,0.6655916733669673
4,True,False,True,5000000,16,5000000,4,5000000,16,False,29814,461479,506048,506048,1577772,475833,5626435,0.16030182391479553,18813218,274211,0.5942003861497489
4,True,False,True,5000000,16,5000000,8,5000000,1,False,29814,399409,506048,506048,1577772,9116353,57895012,0.4195999057927924,18813218,1077943,2.698845043551848
4,True,False,True,5000000,16,5000000,8,5000000,2,False,29814,407707,506048,506048,1577772,4195328,31780058,0.4172991095814432,18813218,594973,1.4593151454353248
4,True,False,True,5000000,16,5000000,8,5000000,4,False,29814,431103,506048,506048,1577772,1712115,15059025,0.304955902870481,18813218,385789,0.894888228567187
4,True,False,True,5000000,16,5000000,8,5000000,8,False,29814,456491,506048,506048,1577772,661719,6716975,0.17731737272171275,18813218,295946,0.6483063192921656
4,True,False,True,5000000,16,5000000,8,5000000,16,False,29814,468831,506048,506048,1577772,333518,3783359,0.11097154212282993,18813218,266352,0.5681194289626752
4,True,False,True,5000000,16,5000000,16,5000000,1,False,29814,399864,506048,506048,1577772,9082003,57710389,0.41895637255425794,18813218,1076156,2.691305043714863
4,True,False,True,5000000,16,5000000,16,5000000,2,False,29814,407358,506048,506048,1577772,4176135,31450802,0.41481841308898754,18813218,592330,1.454077249004561
4,True,False,True,5000000,16,5000000,16,5000000,4,False,29814,431254,506048,506048,1577772,1678433,14752630,0.3006041085806093,18813218,383411,0.8890607391467673
4,True,False,True,5000000,16,5000000,16,5000000,8,False,29814,458453,506048,506048,1577772,622750,6237342,0.16594098624571774,18813218,293654,0.640532399177233
4,True,False,True,5000000,16,5000000,16,5000000,16,False,29814,470982,506048,506048,1577772,294567,3233204,0.0955716889647292,18813218,264298,0.5611636962771401
4,True,True,True,5000000,1,5000000,1,5000000,1,False,29814,373886,506048,506048,1577772,8437725,61427909,0.5113172944099889,18813218,938567,2.5103026056070568
4,True,True,True,5000000,1,5000000,1,5000000,2,False,29814,409344,506048,506048,1577772,4837385,42004427,0.55582868127294,18813218,590397,1.4423003635084428
4,True,True,True,5000000,1,5000000,1,5000000,4,False,29814,424502,506048,506048,1577772,3970249,36401452,0.5818574989360744,18813218,488756,1.151363244460568
4,True,True,True,5000000,1,5000000,1,5000000,8,False,29814,431338,506048,506048,1577772,3770270,35070681,0.5945582750054793,18813218,460829,1.0683709758936148
4,True,True,True,5000000,1,5000000,1,5000000,16,False,29814,431199,506048,506048,1577772,3858337,35731330,0.613552427331172,18813218,454975,1.0551392744417312
