NumPEs,Pipeline,Merged_QQ,Joint Scratchpad,Scratchpad_0_Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
2,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,863530,1011909,1011909,3154983,4121064,36459947,0.353731260947639,37619517,1610507,1.86502727177979
2,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,898257,1011909,1011909,3154983,1727571,17673852,0.224130911606918,37619517,1232110,1.37166757397938
2,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,932061,1011909,1011909,3154983,768667,8577061,0.124065874648794,37619517,1080205,1.15894238681803
2,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,948823,1011909,1011909,3154983,369469,4391082,0.067828525522204,37619517,1011531,1.06609030346018
2,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,951969,1011909,1011909,3154983,224281,2513276,0.039812704094926,37619517,986367,1.03613352955821
4,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,768338,1011909,1011909,3154983,46925720,423548030,0.878861051369631,37619517,3765065,4.90027175539932
4,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,730427,1011909,1011909,3154983,18184481,154444223,0.696873984768459,37619517,1731440,2.37044906609422
4,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,771410,1011909,1011909,3154983,8100966,77264928,0.585764670262969,37619517,1030503,1.33586938204068
4,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,828677,1011909,1011909,3154983,3373041,37063156,0.409875173225527,37619517,706449,0.852502241524744
4,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,886956,1011909,1011909,3154983,1463965,17527192,0.235854026862977,37619517,580576,0.654571365434137
4,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,924468,1011909,1011909,3154983,699642,8898413,0.131936360459621,37619517,526912,0.569962399996539
4,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,943513,1011909,1011909,3154983,425728,5294581,0.081151859022778,37619517,509710,0.540225730859034
8,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,768034,1011909,1011909,3154983,97566340,1022216535,1.05970591212867,37619517,3768058,4.90610832332944
8,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,608287,1011909,1011909,3154983,42960039,439233545,1.26634528843436,37619517,1354888,2.22738279792269
8,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,627612,1011909,1011909,3154983,16020572,163561925,0.920371726990482,37619517,694191,1.10608305768532
8,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,724938,1011909,1011909,3154983,6227169,68628808,0.627695653471884,37619517,427088,0.589137277946528
8,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,814331,1011909,1011909,3154983,2668541,32435655,0.392531708321586,37619517,322781,0.396375675247534
