kd_Tree_File,Query_File,Num_PEs,Pipeline,Merged_QQ,Split_Scratchpad,Scratchpad_0_Size,Scratchpad_0_Banks,Scratchpad_1_Size,Scratchpad_1_Banks,Scratchpad_2_Size,Scratchpad_2_Banks,Ideal,Queries_Processed,Nodes_Visited,Point_Accesses,Node_Accesses,Stack_Accesses,Toptree Conflicts,Subtree Conflicts,Total Conflicts,Stages_Stalled,Percent_Time_Stalled,Lines_Processed,Toptree Cycles,Subtree Cycles,Total Cycles,Avg_Cycles_per_Node,Toptree Levels,Accuracy1,Accuracy5,Accuracy6,Accuracy8,Accuracy10,New_Scheme
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,122722,276129,122724,0,40949,0,40949,1346449,0,3896487,38551,0,38551,0.31413275533319207,4,0.9987940419151918,0.7906000456305157,0.8785697988981032,0.9816629184185349,0.9955151396629784,True
frame_30,frame_30_0.5,4,True,True,True,5000000,8,5000000,8,5000000,8,False,61363,537381,1288623,613630,0,443700,0,443700,5869605,0,19206619,184384,0,184384,0.3431159642786031,10,0.9827094503202255,0.7364209702915804,0.8208073268910088,0.9315124749442705,0.9614849339178644,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,152337,337491,153405,0,56705,0,56705,1485378,0,4847598,46566,0,46566,0.305677543866559,5,0.9987614484534403,0.7896743913167715,0.8776571819690592,0.9810240865682036,0.9952152798148636,True
frame_30,frame_30_0.125,4,True,True,True,5000000,8,5000000,8,5000000,8,False,15340,167928,414180,199420,0,199276,0,199276,2423056,0,6228040,63611,0,63611,0.37879924729646036,13,0.9546284224250325,0.6316949152542721,0.7068970013037875,0.8211342894393562,0.8738983050847291,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,181128,398853,184086,0,72252,0,72252,1678571,0,5798709,54980,0,54980,0.30354224636720994,6,0.9948828265050031,0.7779798572403273,0.8653694468887214,0.9701313516508205,0.9880251621524622,True
frame_30,frame_30,4,True,True,True,5000000,8,5000000,8,5000000,8,False,122727,122727,368181,122727,0,0,0,0,357442,0,4172718,33310,0,33310,0.27141541796018803,1,1.0,0.7952724339400801,0.883592037612897,0.9856983385890145,0.9981894774581096,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,204973,460215,214767,0,95912,0,95912,1783636,0,6749820,62746,0,62746,0.30611836680928706,7,0.9947198591962453,0.7754375672237074,0.8628532316415,0.9682409308692276,0.9868517975294048,True
frame_30,frame_30_0.5,4,True,True,True,5000000,8,5000000,8,5000000,8,False,61363,586590,1411349,674993,0,483499,0,483499,6249024,0,21108872,201161,0,201161,0.3429328832745188,11,0.9822205563613252,0.7276893241856011,0.8116356762220198,0.9233968352265255,0.9556442807555372,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,226681,521577,245448,0,156767,0,156767,2742237,0,7700931,76788,0,76788,0.3387491673320658,8,0.994589485349239,0.7731364688240496,0.8604087220101333,0.9662592483947312,0.9856132459828444,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,246638,582939,276129,0,194445,0,194445,2819966,0,8652042,84353,0,84353,0.34201136888881684,9,0.9848440402855188,0.7435155307842725,0.8288256575728751,0.9392588246797139,0.9670219353997368,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,268409,644301,306810,0,229468,0,229468,3034647,0,9603153,92925,0,92925,0.3462067218312352,10,0.9841921710504873,0.7351911606529312,0.8198233434370945,0.9312603891658748,0.9612528926697059,True
frame_30,frame_30,4,True,True,True,5000000,8,5000000,8,5000000,8,False,122727,245454,613635,245454,0,0,0,0,578097,0,7977255,62907,0,62907,0.25628834730743844,2,0.9999755555012344,0.7949399887568672,0.8832595924296851,0.9854424861686033,0.9980362919325132,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,292420,705663,337491,0,249460,0,249460,3196560,0,10554264,101109,0,101109,0.3457663634498324,11,0.98383364297122,0.7264756689805728,0.8107167302237108,0.9229686124962722,0.9554382190932224,True
frame_30,frame_30_0.5,4,True,True,True,5000000,8,5000000,8,5000000,8,False,61363,637113,1534075,736356,0,664595,0,664595,9080523,0,23011125,235968,0,235968,0.37037071916598785,12,0.9566351058455421,0.6606782588855036,0.7387155126053292,0.8538011505305465,0.9015204602122436,True
frame_30,frame_30,4,True,True,True,5000000,8,5000000,8,5000000,8,False,122727,368181,859089,368181,0,0,0,0,898576,0,11781792,93238,0,93238,0.2532395751002903,3,0.9986474044016395,0.7915584997609466,0.8797461031404414,0.9824895907177325,0.9962420657231276,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,318318,767025,368172,0,336641,0,336641,4571593,0,11505375,118213,0,118213,0.3713676260846072,12,0.9597470747368078,0.6613278576316484,0.7397020957594453,0.8544832306638469,0.903040969981367,True
